,vender,url,product,description,image,price,live
0,KBDFans,https://kbdfans.com/collections/keycaps/products/ic-epbt-psychedelic-x-sweet-girl-keycaps?_pos=45&_fid=1126bd0db&_ss=c&variant=39426197618827,ePBT Acid House & Sweet Girl Keycaps,"Update:   Fulfillment of Group Buy orders, selling extra in stock(2022-08-02) Production completed, Shipping is being arranged  (2022-06-20) Part of the kits have arrived at the warehouse (2022-05-31) In production nearing completion (2022-03-10) Sample confirmed, queuing for production (2021-10-18）  Group date: August",http://cdn.shopify.com/s/files/1/1473/3902/products/bRHrR2j_1200x1200.jpg?v=1619690123,$9.00,True
1,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-relegendables?_pos=27&_fid=1126bd0db&_ss=c&variant=39579360428171,GMK Relegendables+,"Update Selling extra pre-order (2022-11-05) Group Buy Date: November 16th to December 16th, 2021 Estimated Shipping Date: To be Updated Vendors OCE - Switchkeys US - Space EU - CandyKeys CA - Ashkeebs KR - SWAG Keys CN - KBDFans SEA - iLumkb PH – Zion Studios UK - Prototypist INSPIRATION  A degenerate artisan goblin in",http://cdn.shopify.com/s/files/1/1473/3902/products/111_bac9a8ce-490e-4a90-9da6-6c1ec65fbf9a_1200x1200.jpg?v=1631943906,$31.00,True
2,KBDFans,https://kbdfans.com/collections/keycaps/products/kbdfans-simple-style-deskmats-collection,KBDfans Simple Style Deskmats Collection,"SPECS Measurement: 900 mm x 400 mm x 4 mm Production Method: Stitched Edges Texture: Smooth Cloth Top Weight: 750g Friendly Reminds: Only deskmat included, no keyboard",http://cdn.shopify.com/s/files/1/1473/3902/products/dark1-5_1200x1200.jpg?v=1652938077,$7.50,True
3,KBDFans,https://kbdfans.com/collections/keycaps/products/enjoypbt-abs-doubleshot-mechanical-keyboard-keycaps-set-7?_pos=65&_fid=1126bd0db&_ss=c,ENJOYPBT BLUE ABS DOUBLESHOT MECHANICAL KEYBOARD KEYCAPS SET,"SPECS Material: ABS material Profile: Cherry Profile Production Method: Doubleshot Total Keys: 153 keys Manufacturer: ePBT Friendly Reminds: Only Keycaps included, no keyboard Compatibility Cherry MX switches and MX-style clones DZ60 REV3.0, DZ60RGB, DZ60RGB ANSI,DZ60RGB WKL, DZ65RGB, KBD67 REV2.0, KBD67 MarK II, KBD75",http://cdn.shopify.com/s/files/1/1473/3902/products/7_3d774600-a8c9-48b4-a8ee-6cfd9bc20b33_1200x1200.jpg?v=1672722466,$33.90,True
4,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-novelty-kit-collection?_pos=2&_fid=1126bd0db&_ss=c,PBTfans Novelty Kit Collection,"SPECS PBT material Profile: Cherry profile Production Method: Doubleshot Manufacturer: PBTfans Friendly Reminds: Only keycaps included, no keyboard Compatibility: Cherry MX switches and MX-style clones",http://cdn.shopify.com/s/files/1/1473/3902/products/lQLPJx4a6BnVtfDNB9DNB9Cw_kHatHWrc8oDlsCvY0COAA_2000_2000_1200x1200.png?v=1671088323,$19.00,True
5,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-hanok?_pos=54&_fid=1126bd0db&_ss=c&variant=41030803816587,GMK HANOK,"Update Selling extra pre-order (2022-11-03) Samples approved (2022-02-28) GB Dates: Start from July 26th to August 23rd, 2021 Estimated Ship Date: To be announced SPECS Profile: Cherry Profile 1 - 1 - 2 - 3 - 4 - 4 Production Method: Doubleshot Modifier Style: Icon+Text Material: ABS Plastic Manufacturer: GMK Electroni",http://cdn.shopify.com/s/files/1/1473/3902/products/1_0a8c4e7d-3ca5-4dbe-b3fa-17a2d4ad41ac_1200x1200.png?v=1627260717,$295.00,True
6,KBDFans,https://kbdfans.com/collections/keycaps/products/epbt-soju?_pos=57&_fid=1126bd0db&_ss=c&variant=34482888179851,ePBT Soju,Update Selling extra in stock (2022-10-26) Vendors: Shipped out most orders Expected to be ready to ship in two weeks (2022-09-17) Production completion progress reaches 70% (2022-09-08) Part of kits arrived (2022-8-30) Keycap injection is 50% completed (2022-07-05) Starting the Reverse Dye-sub (2022-06-18) Production ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_60903f8f-8aee-42e5-acaa-cef37c2f001c_1200x1200.jpg?v=1611906184,$59.00,True
7,KBDFans,https://kbdfans.com/collections/keycaps/products/kat-bow-pbt-keycaps-set?_pos=56&_fid=1126bd0db&_ss=c,KAT BOW PBT Keycaps set,"SPECS Production Method: Dye-sub   Material: PBT material Total Keys: 169 keys Profile: KAT profile Color: GMK WS1 Friendly Reminds: Only Keycaps included, no keyboard",http://cdn.shopify.com/s/files/1/1473/3902/products/20_c8d182c2-ae4f-44a5-9352-78ec02343a18_1200x1200.jpg?v=1612681342,$39.50,True
8,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-lavender?_pos=42&_fid=1126bd0db&_ss=c&variant=39366552191115,GMK Lavender,"Update Selling extra pre-order (2022-11-03) Invoice paid, in production queue, round 1 color matching samples received. Alphas white approved, feedback provided to GMK for lavender color and dark purple accent, awaiting round 2 samples. （2021-12-15） Queuing for production（2021-09-07） Estimated shipping date: To be upda",http://cdn.shopify.com/s/files/1/1473/3902/products/LAVENDER-KIT_1200x1200.jpg?v=1621994242,$154.00,True
9,KBDFans,https://kbdfans.com/collections/keycaps/products/dz60-cnc-aluminum-60-plate-a,DZ60 CNC Aluminum 60% Plate A,Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spanish Dutch Klingon Swe,http://cdn.shopify.com/s/files/1/1473/3902/products/A_2_e5ff079f-0148-489d-a387-56b52a665299_1200x1200.jpg?v=1667437593,$9.90,True
