,vender,url,product,description,image,live,price,quantity
0,CannonKeys,https://cannonkeys.com/products/gateron-x-switch?_pos=35&_fid=c9a0afe91&_ss=c&variant=40652841549935,Gateron X Linear Switch,"CannonKeys is proud to offer Gateron X Linear Switches! The Gateron X is a new switch featuring a new bottom housing mold with an X engraving on the bottom. Polished interiors allow for reduced surface roughness while maintaining stem tolerances. For this second run, Gateron X comes in the classic nylon-blend milky top",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC6073_b2ef0c3a-cc53-463f-84be-8610a50e7767_1200x1200.png?v=1658438081,True,$34.30,70
1,CannonKeys,https://cannonkeys.com/products/gateron-yellow-switch-full-nylon-10?_pos=50&_fid=c9a0afe91&_ss=c,Gateron Full Nylon Yellow Linear Switch,"CannonKeys is pleased to stock Gateron Yellows in another variety!  These switches are produced by Gateron and feature PCB mount legs. But this time, the entire housing is black, and made out of Nylon. These are also known as ""KS-3"" Gateron Yellows. Gateron Yellows are a linear switch that actuate around 50g and bottom",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/gat-yellow-full-nylon-hero_1200x1200.png?v=1626918346,True,$16.10,70
2,CannonKeys,https://cannonkeys.com/products/korbs-switches-by-tiny?_pos=32&_fid=c9a0afe91&_ss=c,Korbs Linear Switches by Tiny,"In collaboration with TinyMakesThings, we're happy to bring you a new cute linear switch from Durock! These switches were designed by Tiny to pair perfectly with her Korby artisans and are produced by Durock. We're happy to be offering you these cute and bubbly switches! Like the color and materials but want to customi",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/korbs-new_1200x1200.png?v=1648782479,True,$45.50,70
3,CannonKeys,https://cannonkeys.com/products/sp-star-sacramento-switch?_pos=33&_fid=c9a0afe91&_ss=c,SP-Star Sacramento Linear Switch,"CannonKeys is proud to offer SP-Star Sacramento Linear Switches! The Sacramento Switches are linear switches produced by SP-Star. This standard switch features a full nylon housing and is comparable to SP-Star's Meteor line, with the exception of a 62g spring weight and no factory lube. Like the color and materials but",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/CK121021-211-Edit_7fd9f190-9630-4fe2-9ef3-375debec3dd9_1200x1200.jpg?v=1639436797,True,$40.60,70
4,CannonKeys,https://cannonkeys.com/products/lilac-tactile-switch-10?_pos=52&_fid=c9a0afe91&_ss=c&variant=40601233883247,Lilac Tactile Switch,"CannonKeys is pleased to offer new Lilac Tactile Switches! These Durock switches feel similar to T1s, but are a bit smoother. Like the color and materials but want to customize the feel and sound? Check out our slow springs and Accessories for all your switch modding essentials.  Available in quantities of 70, 90, and ",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/lilac-tactile-hero_1200x1200.png?v=1626918142,True,$49.50,70
5,CannonKeys,https://cannonkeys.com/products/switch-sample-packs?_pos=1&_fid=c9a0afe91&_ss=c,Switch Sample Packs,"CannonKeys is proud to offer Switch Sample Packs! Have you been wanting to try out some new switches? Switch Sample Packs are now available for our light linear, heavy linear, and tactile switch offerings.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC01444-Edit_1200x1200.png?v=1677270709,True,$8.00,Light Linears
6,CannonKeys,https://cannonkeys.com/products/jwick-black-linear-switch?_pos=31&_fid=c9a0afe91&_ss=c,JWICK Black Linear Switch,CannonKeys is proud to offer JWICK Black Linear Switches! The JWICK Black Linear Switch is a budget oriented linear switch manufactured by JWK. This lightly factory lubed linear is a fantastic option for anyone on a budget who still wants a smooth stock experience.  Like the color and materials but want to customize th,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/jwick-black-new_1200x1200.png?v=1648782418,True,$16.80,70
7,CannonKeys,https://cannonkeys.com/products/gateron-black-ink-switch?_pos=38&_fid=c9a0afe91&_ss=c,Gateron Black Ink Linear Switch,"CannonKeys is pleased to offer the Durock Anubis Tactile Switch! We're proud to offer a Mechs on Deck color themed full nylon tactile switch using a strong tactile stem with an extended pole! Materials: Full nylon, POM stem. 65g gold plated spring. Factory lubed. 5 pin. Mechs on Deck Themed Colors. Available in quantities of 70, 90, and 110.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/hero_1200x1200.png?v=1630618232,True,$52.50,70
8,CannonKeys,https://cannonkeys.com/products/lavender-linear-switch?_pos=49&_fid=c9a0afe91&_ss=c&variant=32226584363119,Lavender Linear Switch,"CannonKeys is proud to offer our Lavender Linear Switches! These are full nylon housing linear switches produced by Durock. The top housing has Durock branding. Durock has made new molds for this, and told us that the top and bottom housing are both made fully of Nylon, and that the stem is POM. We are now offering lav",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/lav-hero-small_c197155c-9cbd-4915-9b23-a72ef849a72f_1200x1200.png?v=1648782709,True,$45.50,70
9,CannonKeys,https://cannonkeys.com/products/gateron-baby-kangaroo-tactile-switch?_pos=14&_fid=c9a0afe91&_ss=c,Gateron Baby Kangaroo Tactile Switch,The Baby Kangaroo Switch is the newest tactile addition from Gateron! This switch is RGB-friendly and features a bump that comes in at 0.5mm.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07752_1200x1200.jpg?v=1662589366,True,$42.00,70
10,CannonKeys,https://cannonkeys.com/products/magnus175-by-smith-and-rune-coming-soon,Magnus175 by Smith and Rune,"Magnus175 - Designed by Smith + Rune - A top-mount dampened leaf spring mounted 75% from the designers behind the Iron Series! Group Buy on Feb 25th, 10AM ET - 12PM ET.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/11-HR_1200x1200.jpg?v=1661208132,True,,
11,CannonKeys,https://cannonkeys.com/products/aurora-series-blue-linear-switch?_pos=17&_fid=c9a0afe91&_ss=c&variant=40912140566639,Aurora Series Blue Linear Switch,"WS Aurora Series Blue Linear Switch Available with or without factory lube, the WS Aurora Series Blue Linear Switch is smooth stock and allows for further customization! With a moderate weighting at 63.5g and a box stem design, these are sure to please! Like the color and materials but want to customize the feel and so",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07742_1200x1200.jpg?v=1665763106,True,$35.00,70
12,CannonKeys,https://cannonkeys.com/products/cherry-mx-clear-tactile-switch?_pos=15&_fid=c9a0afe91&_ss=c,Cherry MX Clear Tactile Switch,Cherry MX clear tactile switch.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cherry-clear-hero_95d09ed1-6b8a-4c13-84f5-c6803547aac2_1200x1200.png?v=1658514762,True,$26.60,70
13,CannonKeys,https://cannonkeys.com/products/gateron-cj-linear-switch?_pos=37&_fid=c9a0afe91&_ss=c,Gateron CJ Linear Switch,"CannonKeys is proud to offer Gateron China Joy (CJ) Linear Switches! These unique gateron switches offer an ink top housing, and opaque POM bottom housing. The housing is paired with a POM stem and 60g spring to bring you an extremely smooth stock switch, that takes well to modding if needed. Like the color and materia",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cj_1_1024x1024_2x_81e356be-9404-40cd-852d-d4bbb5598945_1200x1200.png?v=1644431689,True,$45.50,70
14,CannonKeys,https://cannonkeys.com/products/mm-switch-top-housings?_pos=43&_fid=c9a0afe91&_ss=c,MM Switch Top Housings,"MM Switch Top Housings are part of the MM Switch Series, a series of custom linear switch parts manufactured by JWK available in several materials and colors!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/tops-combo_1200x1200.png?v=1662657373,True,$7.50,Pink | Modified POM
15,CannonKeys,https://cannonkeys.com/products/seal-linear-switch-by-minterly?_pos=47&_fid=c9a0afe91&_ss=c,Seal Linear Switch by Minterly,"In collaboration with Minterly, we're happy to bring you a new heavy linear switch from JWK! These switches were designed by Minterly to match her perferences (heavy spring!) and produced by JWK. We're happy to be offering you these great looking switches! Like the color and materials but want to customize the feel and",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/seal-hero-3_1200x1200.png?v=1637190060,True,$42.00,70
16,CannonKeys,https://cannonkeys.com/products/blush-light-tactile-switch?_pos=5&_fid=c9a0afe91&_ss=c,Blush Light Tactile Switch,Blush Lights feature a lovely pink-red tinted housing paired with a POM stem. Comes pre-lubed with a two-staged spring.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC09583-Edit_1200x1200.jpg?v=1675361952,True,$45.50,70
