,vender,url,product,description,image,live,in_stock,prices
0,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-olivia-no3,GMK Olivia No3,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/KirvyWide_1200x1200.png?v=1675439265,True,PREORDER,$119
1,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/key-kobo-black-on-white,Key Kobo Black on White,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_KeyKobo_BoW-TILE_1200x1200.jpg?v=1670509599,True,LIMITED STOCK,$99
2,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/hsa-wob-keycaps,HSA Keycaps,"HSA is a new profile made by JTK. It is based on SA profile, but is overall a much shorter profile. Featuring a glossy finish and produced with doubleshot ABS plastic. MX compatible. ",http://cdn.shopify.com/s/files/1/3099/8088/products/HSA_BoWoB-TILE_1200x1200.jpg?v=1675991284,True,LIMITED STOCK,$99
3,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/b-stock-aluvia-keycaps,B-Stock Aluvia Keycaps,These are B stock keycaps. Please read below for some possible imperfections. These are sold as is and we will not accept returns. Imperfections: Slightly discolored R3 1.75uCaps Lock and R3 1.75u Control legends. Slightly inconsistent font weight. Possible Imperfections: Some numrow 8 keys were not properly milled mak,http://cdn.shopify.com/s/files/1/3099/8088/products/aluvia-028_ac752ab8-aa62-4249-8653-15b032e92228_1200x1200.jpg?v=1674653159,True,LIMITED STOCK,$200
4,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-metropolis-r2,GMK Metropolis R2,Designed by Nephlock.  ,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_MetroR2_16x9-TILE_1200x1200.jpg?v=1673617453,True,LIMITED STOCK,$135
5,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/aluve-keycaps,Aluve Keycaps,These double anodized aluminum keycaps are our latest collaboration with Olivia. These keycaps are fully CNC'd aluminum.,http://cdn.shopify.com/s/files/1/3099/8088/products/Aluve_TILE_1200x1200.jpg?v=1674577615,True,LIMITED STOCK,$375
6,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/tfue-keycaps,TFUE Keycaps,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/TFUE_Boards_16x9-Tile_1200x1200.jpg?v=1650566093,True,LIMITED STOCK,$120
7,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-handarbeit-r2,GMK Handarbeit R2,Inspired by G81-3000HBD OG Handarbeit keyboard. Designed by cocobrais.  ,http://cdn.shopify.com/s/files/1/3099/8088/products/handarbeittile_1200x1200.jpg?v=1672410684,True,LIMITED STOCK,$145
8,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/cherry-olivia,Cherry Olivia,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/PBT_Olivia_Tile_1200x1200.jpg?v=1672246856,True,IN STOCK,$95
9,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/cherry-industrial-keys,Cherry Industrial Keys,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_IndustrialKeys_TILE_1200x1200.jpg?v=1672247195,True,IN STOCK,$85
10,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/r2-d2,R2-D2,Bring your keyboard to life with the officially licensed Star Wars R2-D2™ PBT Keycaps,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_SW_R2-D2_16x9-TILE_1200x1200.jpg?v=1670424397,True,IN STOCK,$99
11,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/c-3po,C-3PO,Bring your keyboard to life with the officially licensed Star Wars C-3PO™ PBT Keycaps,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_SW_C-3PO_16x9-TILE_1200x1200.jpg?v=1670424306,True,IN STOCK,$99
12,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/bb-8,BB-8,Bring your keyboard to life with the officially licensed Star Wars BB-8™ PBT Keycaps,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_SW_BB-8_16x9-TILE_1200x1200.jpg?v=1670424262,True,IN STOCK,$99
