,vender,url,product,description,image,price,quantity,in_stock
0,TheKey.Company,https://thekey.company/collections/in-stock/products/akko-cs-snow-blue-gray-switches,Snow Blue Gray Switches,Akko’s first 5-pin linear switches with POM/PC/PA structure; and are part of the CS series. They have an 18mm extension spring; fortified PA bottom case; and are not lubed. Collaborated with Bilibili influencer XCJZ; Type: Linear Pre-Travel: 1.9 ± 0.3mm Total Travel: 4.0 - 0.5mm End Force: 50gf ± 5gf Operating Force: 4,http://cdn.shopify.com/s/files/1/1679/2319/products/akkoswitches-18_1200x1200.jpg?v=1677173012,$16.99,"   Akko’s first 5-pin linear switches with POM/PC/PA structure; and are part of the CS series. They have an 18mm extension spring; fortified PA bottom case; and are not lubed.  Collaborated with Bilibili influencer XCJZ;  Type: Linear
Pre-Travel: 1.9 ± 0.3mm
Total Travel: 4.0 - 0.5mm
End Force: 50gf ± 5gf
Operating Force: 43gf ± 5gf    About the Switches  Linear switch. These have a smooth keypress with no tactile bump.

Materials: 


Stem: POM
Top: polycarbonate (PC)
Bottom:  polyamide (PA is a type of nylon)


PCB mount.
5 pin
Packaged in a tray with cardboard slip cover.
Designed in collaboration with Bilibili influencer XCJZ and Akko.

Sold in units of 45.    Switches 101  A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.  How many switches do I need?  For common sizes, here are some estimates (these can vary slightly by keyboard model):  Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 81 



Our Portico75 Keyboard uses 79 switches.


65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61  We recommend buying enough to fill your board, with some extra to spare.  For more switch basics, read our Switches 101 article on Keyboard University → ",True
1,TheKey.Company,https://thekey.company/collections/in-stock/products/c3-equalz-x-tkc-kiwi-switches,Kiwi Switches,Kiwi Switches are a tactile switch with a 67g spring and T1 stem. About Kiwi Switches 67g Tactile with a T1 stem Lightly factory lubed Translucent bright green housing with N9 Grey stem Same housing material as Tangies Proprietary C³Equalz top housing design Gold-plated internals Packaged in plastic containers with a s,http://cdn.shopify.com/s/files/1/1679/2319/products/Kiwi-1_1200x1200.jpg?v=1666967128,$16.25," Kiwi Switches are a tactile switch with a 67g spring and T1 stem.  About Kiwi Switches  67g Tactile with a T1 stem
Lightly factory lubed
Translucent bright green housing with N9 Grey stem
Same housing material as Tangies
Proprietary C³Equalz top housing design
Gold-plated internals
Packaged in plastic containers with a sticker on it.  The Reviews  Qlavier Titanium Plate Alice w/ 67g Kiwi Switches – soundtest by Alexotos

c3 Kiwi Switch Review by maxf

The Key Dot Company x C3 Kiwi Tactile Switch Review: Smooth Tactile Goodness by BadSeed Tech

The Key Dot Company x C3 Equalz Kiwi Switches Review! Can it Hang With The Big Boys? by Brandon Taylor  International Vendors  ProtoTypist - UK


Ashkeebs - Canada


Shockport - Canada

Candykeys - EU


Keygem - EU ",True
2,TheKey.Company,https://thekey.company/collections/in-stock/products/cherry-mx-switches,Cherry MX Switches,"CHERRY MX is the world leader in keyswitch technology, and their CHERRY MX switches are industry titans.  Features: In-stock and ready to ship Developed and manufactured in Germany For the best most up-to-date information on CHERRY MX Switches please refer to their website found here! Data Sheets available for download",http://cdn.shopify.com/s/files/1/1679/2319/products/DSC00781_1200x1200.jpg?v=1635433785,$12.50," CHERRY MX is the world leader in keyswitch technology, and their CHERRY MX switches are industry titans.  Features:  In-stock and ready to ship
Developed and manufactured in Germany  For the best most up-to-date information on CHERRY MX Switches please refer to their website found here!  Data Sheets available for download here  Variants  Expand All  Cherry MX Red Hyperglide
          

Cherry Red switches are 45g linear switches with opaque housings, graded for at least 100 million keystrokes.
This is a 5 pin switch.
Find the stat sheet here!
 


            Cherry RGB Red Hyperglide
          

Cherry RGB Red switches are the clear-housing variant of the classic Cherry Red. Clear housings are perfect for the RGB lover! These switches are 45g linears, graded for at least 100 million keystrokes. 
This is a 5 pin switch.
Find the stat sheet here!


            Cherry Blue
          

Cherry Blue switches are 60g tactile switches with opaque housings. These switches have a pronounced noise, making them popular with consumers who like ""clicky"" switches.
This is a 5 pin switch.
Find the stat sheet here!


            Cherry Brown Hyperglide
          

Cherry Brown switches are 55g tactile switches with opaque housings, graded for at least 100 million keystrokes. The tactile bump is pronounced, but is quieter than Cherry Blues, making this switch a great option for entry-level mechanical keyboard consumers.
This is a 5 pin switch.
Find the stat sheet here!


            Cherry MX Black Hyperglide
          

Cherry Black switches are 60g linear switches with opaque housings, graded for at least 100 million keystrokes. While similar to the Cherry Red switches, the Cherry Black switches offer a heavier spring, making the typing experience more satisfying.
This is a 5 pin switch.
Find the stat sheet here! ",True
3,TheKey.Company,https://thekey.company/collections/in-stock/products/sp-star-marble-soda-switches,Marble Soda Switches,"Introducing the Marble Soda Series Switches. These SP-Star switches are a linear switch, made in custom colorways to match our favorite carbonated beverage to pop open after an arduous journey, exploring the outer reaches. The Key Dot Co. is proud to continue our partnership with SP Star.  In our months of collaboratio",http://cdn.shopify.com/s/files/1/1679/2319/products/CaptSterMarbleSodaSwitches_1200x1200.jpg?v=1646790328,$16.25," Introducing the Marble Soda Series Switches. These SP-Star switches are a linear switch, made in custom colorways to match our favorite carbonated beverage to pop open after an arduous journey, exploring the outer reaches.  The Key Dot Co. is proud to continue our partnership with SP Star.  In our months of collaboration with SP Star, we are eager to bring to you a refreshing discovery :)……………………………………….  About Marble Soda Switches  MX style switch
Designed in two different materials to offer a variety of sound and feel
Gold plated internals
Light factory lube
Packed in TKC signature switch containers
Manufactured by SP Star in China  Melon  72g Linear
Nylon housing in melon color
POM stem, white  OG (Original)  55g Linear
Polycarbonate housing in translucent blue color
POM stem, white  Expand All  Sound Tests
          


Sound test by Clackbait (be sure to give him a follow!)
More coming soon. If you'd like to submit a video for us to post, please drop an email to our team!


            Switches 101
          

Switches are the components that sit under each keycap and register when you press a key. There's a large variety of them that differ in how they feel and sound.
When building custom keyboards, often switches need to be soldered to the PCB. Keyboard builds that don't require soldering switches are referred to as hotswap—installing and changing switches is as easy as inserting them and pulling them out (switch puller required!)
These SP-Star switches are a linear switch, which refers to a smooth switch actuation. They move straight up and down without any tactile ""bump"" or clicking noise. This is in contrast to a tactile switch which provides tactile feedback in the form of a “bump”, or a clicky switch that has a bump as well as an audible click sound.
Learn more in our Switches 101 article → ",True
4,TheKey.Company,https://thekey.company/collections/in-stock/products/sp-star-switch,Magic Girl Switches,"New to the galaxy. These SP-Star switches are a tactile switch, made in custom colorways to match Magic Girl keycaps. About SP-Star Magic Girl Switches Tactile, MX-style switch. Tactile switches have a ""bump"" feeling when you press down on them. Spring Weight: 67g for both colors. Materials: Nylon housing, POM stem, an",http://cdn.shopify.com/s/files/1/1679/2319/products/DSC01576_copy_1200x1200.jpg?v=1627073294,$27.50,50 Switches,True
5,TheKey.Company,https://thekey.company/collections/in-stock/products/akko-v3-cream-blue-switches,Cream Blue Switches,Cream Blue is a tactile switch that is part of the Akko v3 Generation series. They have a long pole compared to other Akko tactile switches to provide a solid and faster bottom-out feeling. The v3 Cream Blue's are not lubed.  Type: Tactile Pre-Travel: 2.0 ± 0.3mm Total Travel: 3.5 ± 0.3mm Operating Force: 38gf ± 5gf Ta,http://cdn.shopify.com/s/files/1/1679/2319/products/akkoswitches-10_1200x1200.jpg?v=1674842084,$8.99,"   Cream Blue is a tactile switch that is part of the Akko v3 Generation series. They have a long pole compared to other Akko tactile switches to provide a solid and faster bottom-out feeling. The v3 Cream Blue's are not lubed.  Type: Tactile
Pre-Travel: 2.0 ± 0.3mm
Total Travel: 3.5  ± 0.3mm
Operating Force: 38gf ± 5gf
Tactile Position: 0.5 ± 0.3mm
Tactile Force: 53 ± 5gf    About the Switches  Tactile switch. 

Materials: 


Stem: POM
Top: polycarbonate (PC)
Bottom:  polyamide (PA is a type of nylon)


Plate mount.
3 pin
Packaged in a tray with cardboard slip cover.
Designed and manufactured by Akko.
Sold in units of 45.      Switches 101  A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.  How many switches do I need?  For common sizes, here are some estimates (these can vary slightly by keyboard model):  Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 81 



Our Portico75 Keyboard uses 79 switches.


65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61  We recommend buying enough to fill your board, with some extra to spare.  For more switch basics, read our Switches 101 article on Keyboard University → ",True
6,TheKey.Company,https://thekey.company/collections/in-stock/products/akko-cs-jelly-white-lubed,Jelly White Switches (Lubed),"Jelly White is a linear switch that is part of the Akko CS series. Comparing with the classic CS switches, the new CS switches are equipped with dustproof stem for enhanced stability. The Jelly White are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.  Type: Linear Pre-Travel: 1.9 ± 0.3mm Total Travel: 4",http://cdn.shopify.com/s/files/1/1679/2319/products/akkoswitches-13_1200x1200.jpg?v=1674840959,$16.99,"   Jelly White is a linear switch that is part of the Akko CS series. Comparing with the classic CS switches, the new CS switches are equipped with dustproof stem for enhanced stability. The Jelly White are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.  Type: Linear
Pre-Travel: 1.9 ± 0.3mm
Total Travel: 4.0 - 0.5mm
Actuation Force: 35gf ± 5gf    About the Switches  Linear switch. These have a smooth keypress with no tactile bump.

Materials: 


Stem: POM
Top: polycarbonate (PC)
Bottom:  polycarbonate (PC)


Plate mount.
3 pin
Pre-lubed by hand, read below for more information.
Packaged in a tray with cardboard slip cover.
Designed and manufactured by Akko.
Sold in units of 45.      Switches 101  A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.  How many switches do I need?  For common sizes, here are some estimates (these can vary slightly by keyboard model):  Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 81 



Our Portico75 Keyboard uses 79 switches.


65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61  We recommend buying enough to fill your board, with some extra to spare.  For more switch basics, read our Switches 101 article on Keyboard University → ",True
7,TheKey.Company,https://thekey.company/collections/in-stock/products/c3-equalz-x-tkc-dragon-fruit-switches,Dragon Fruit Switches,"Dragon Fruit switches are a tactile switch with a 63.5g spring, featuring a translucent pink housing and snow white stem. Limited to a maximum of 2 of any Dragon Fruit Product Sold in units of 25,50,75 and 100 switches. Limit of 2 units per order. Tactile switch – pressing a DF switch has a 'bump' feeling. The bump is ",http://cdn.shopify.com/s/files/1/1679/2319/products/Dragonfruit-1_1200x1200.jpg?v=1666966886,$16.25," Dragon Fruit switches are a tactile switch with a 63.5g spring, featuring a translucent pink housing and snow white stem.  Limited to a maximum of 2 of any Dragon Fruit Product    Sold in units of 25,50,75 and 100 switches. 
Limit of 2 units per order.
Tactile switch – pressing a DF switch has a 'bump' feeling. The bump is similar to an Ergo Clear switch, and is less pronounced than a Kiwi Switch.
63.5g spring
Lightly factory lubed – you can lube over this
Translucent cool pink housing with snow white stem
Proprietary C³Equalz top housing design
Designed by C³Equalz X TKC
Manufactured by JWK  Dragon Fruit switches are part of our Fruit Switch Family, which also includes Tangerine Switches and Kiwi Switches.  Expand All  Switches 101
          

A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.How many switches do I need?For common sizes, here are some estimates (these can vary slightly by keyboard model):

Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 84
65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61


We recommend buying enough to fill your board, with some extra to spare.
For more switch basics, read our Switches 101 article on Keyboard University → ",True
8,TheKey.Company,https://thekey.company/collections/in-stock/products/akko-cs-wine-white-lubed,Wine White Switches (Lubed),Wine White is a tactile switch that is part of the Akko CS series. The Wine Wine are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.  Type: Tactile Operating Force: 36gf ± 5gf Pre-Travel: 2.0 ± 0.3mm Total Travel: 4.0 - 0.5mm Tactile Position: 0.5 ± 0.3mm Tactile Force: 55gf ± 5gf About the Switches Tact,http://cdn.shopify.com/s/files/1/1679/2319/products/akkoswitches-16_1200x1200.jpg?v=1674841878,$16.99,"   Wine White is a tactile switch that is part of the Akko CS series. The Wine Wine are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.  Type: Tactile
Operating Force: 36gf ± 5gf
Pre-Travel: 2.0 ± 0.3mm
Total Travel: 4.0 - 0.5mm
Tactile Position: 0.5 ± 0.3mm
Tactile Force: 55gf ± 5gf    About the Switches  Tactile switch. 

Materials: 


Stem: POM
Top: polycarbonate (PC)
Bottom: polyamide (PA is a type of nylon)

Plate mount.
3 pin
Pre-lubed by hand, read below for more information.
Packaged in a tray with cardboard slip cover.
Designed and manufactured by Akko.
Sold in units of 45.      Switches 101  A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.  How many switches do I need?  For common sizes, here are some estimates (these can vary slightly by keyboard model):  Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 81 



Our Portico75 Keyboard uses 79 switches.


65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61  We recommend buying enough to fill your board, with some extra to spare.  For more switch basics, read our Switches 101 article on Keyboard University → ",True
9,TheKey.Company,https://thekey.company/collections/in-stock/products/copy-of-akko-cs-matcha-green-lubed,Wine Red Switches (Lubed),Wine Red is a linear switch that is part of the Akko CS series. The Wine Red are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.   Type: Linear Pre-Travel: 1.9 ± 0.3mm Total Travel: 4.0 - 0.5mm End Force: 43gf ± 5gf About the Switches Linear switch. These have a smooth keypress with no tactile bump. Mate,http://cdn.shopify.com/s/files/1/1679/2319/products/akkoswitches-11_1200x1200.jpg?v=1674841593,$16.99,"   Wine Red is a linear switch that is part of the Akko CS series. The Wine Red are hand lubed switches using Krytox GPL105 and Krytox GPL-205 G0.  Type: Linear
Pre-Travel: 1.9 ± 0.3mm
Total Travel: 4.0 - 0.5mm
End Force: 43gf ± 5gf  About the Switches  Linear switch. These have a smooth keypress with no tactile bump.
Materials:

Stem: POM
Top: polycarbonate (PC)
Bottom: polyamide (PA is a type of nylon)



Plate mount
3 pin
Pre-lubed by hand, read below for more information.
Packaged in a tray with cardboard slip cover.
Designed and manufactured by Akko.
Sold in units of 45.    Switches 101  A keyboard switch is the little component that sits underneath the keycap and connects to the keyboard PCB. On a mechanical keyboard, every key has its own switch.  How many switches do I need?  For common sizes, here are some estimates (these can vary slightly by keyboard model):  Full-size (100%): 104
TKL (Tenkeyless): 87
75%: 81 



Our Portico75 Keyboard uses 79 switches.


65%: 68

Our Portico Keyboard uses 67 switches.

60%: 61  We recommend buying enough to fill your board, with some extra to spare.  For more switch basics, read our Switches 101 article on Keyboard University → ",True
