,vender,url,product,description,image,price,live,quantity
0,Kono Store,https://kono.store/collections/switches/products/kailh-mx-switches,Kailh Switches,Kailh switches offer a solid path into the mechanical keyboard world with clean actuation and high durability. specifications Kailh Blue – Clicky:50 cN Activation force | 1.9mm Pretravel | 4.0mm total travel Kailh Brown – Tactile:50 cN Activation force | 1.9mm Pretravel | 4.0mm total travel Kailh Black – Linear:60 cN A,https://cdn.shopify.com/s/files/1/1994/3097/products/kailh_blue_1200x1200.jpg?v=1630435974,$2.80,True," Kailh switches offer a solid path into the mechanical keyboard world with clean actuation and high durability.  specifications  Kailh Blue – Clicky:50 cN Activation force | 1.9mm Pretravel | 4.0mm total travel


Kailh Brown – Tactile:50 cN Activation force | 1.9mm Pretravel | 4.0mm total travel


Kailh Black – Linear:60 cN Activation force | 1.9mm Pretravel | 4.0mm total travel


Kailh Red – Linear:45 cN Activation force | 1.9mm Pretravel | 4.0mm total travel  details  10 switches per pack
Plate Mount
Hot-swap compatible (plate mount)
Compatible with Cherry MX-mount keycap sets
Optimised for use with SMD LEDs (RGB or single color)
Over 70 million press lifespan "
1,Kono Store,https://kono.store/collections/switches/products/outva-yin-yang-switches-10-ct,OUTVA Yin & Yang Switches (10 ct.),"Note: This was a group buy that launched January 17 and ended February 20. Estimated delivery date to customers is Q2 2023.  Yin (black) is a tactile mechanical keyboard switch that represents shadow, water, and weightiness. Fittingly, it has a heavy operating force of 65±10gf, making it ideal for gamers or heavy typis",https://cdn.shopify.com/s/files/1/1994/3097/products/3_f4e157a4-87d3-443b-abdb-da0a71_1200x1200.png?v=1673988361,$4.99,False," Note: This was a group buy that launched January 17 and ended February 20. Estimated delivery date to customers is Q2 2023.  Yin (black) is a tactile mechanical keyboard switch that represents shadow, water, and weightiness. Fittingly, it has a heavy operating force of 65±10gf, making it ideal for gamers or heavy typists who want a distinct press and less typos when keyboarding at high speed.  Yang (white) is Yin's opposite. This linear mechanical keyboard switch represents light, fire, and weightlessness. With a medium operating force of 46±10gf, it'll help you breeze your way through games, or keep your fingers fresh after long hours of writing code or text.  It's only fitting that two switches representing eternal forces should be made of long-lasting materials. The cases are made of high-strength, high-resistance nylon. The shafts are made of POM, a low friction plastic that offers scratch-free action. The internals are made of highly conductive copper alloy with superior corrosion resistance. And to ensure instantaneous accuracy, the contacts are gold-plated for ultra-low electrical resistance and super high conductivity.  Yin (black)  10-switches per pack
5-pin PCB mount
compatible with Cherry MX-mount keycap sets
Switch type: Tactile
Operating force: 65±10gf

End force: 60±10gf
Pre Travel: 2.0±0.4mm
Full Travel: 3.5±0.4mm
Base material: Nylon
Cover material: Nylon
Stem: POM
Spring length: 15mm spring    Yang (white)  10-switches per pack
5-pin PCB mount
compatible with Cherry MX-mount keycap sets
Switch type: Linear
Operating force: 46±10gf

End force: 58±10gf
Pre Travel: 2.0±0.4mm
Full Travel: 3.7±0.4mm
Base material: Nylon
Cover material: Nylon
Stem: POM
Spring Length: 15mm spring   "
2,Kono Store,https://kono.store/collections/switches/products/nightwalker-collection,Nightwalker Collection - Glow in the Dark Switches & Stabilizers,"From the minds of ULLIAM (Cyberspace, Blacklight) and Protozoa Studio comes the NIGHTWALKER COLLECTION. Fusing analogue glow in the dark plastics with industry standard Durock technology, NIGHTWALKER is peak Cyberpunk. NIGHTCALL - GID Silent Linear Switch Translucent Polycarbonate Blend Upper Housing Translucent Nylon ",https://cdn.shopify.com/s/files/1/1994/3097/products/switch-group-dark_1200x1200.jpg?v=1631730025,$8.49,True," From the minds of ULLIAM (Cyberspace, Blacklight) and Protozoa Studio comes the NIGHTWALKER COLLECTION.  Fusing analogue glow in the dark plastics with industry standard Durock technology, NIGHTWALKER is peak Cyberpunk. NIGHTCALL - GID Silent Linear Switch  Translucent Polycarbonate Blend Upper Housing
Translucent Nylon Lower Housing
Glow in the Dark POM Stem
Silent Linear
66g Fast Spring: light on downstroke, then requiring more force to bottom out.
PCB mount / 5 pin
Unlubricated
Packs of 10    SOLARIS - GID Tactile Switch   Glow in the Dark Polycarbonate Blend Upper Housing
Glow in the Dark Nylon Lower Housing
Black POM Stem
Tactile
66g Fast Spring: light on downstroke, then requiring more force to bottom out.
PCB mount / 5 pin
Unlubricated
Packs of 10  LUMEN - GID Stabilizers   Full GID Nylon Housing
Black SS Bars
4x 2u, 1x 6.25u & 7u Bar  details  Designed by Uilliam and Protozoa Studio
Produced by Durock  International Vendors:Canada: DeskheroEU: Protozoa StudioAustralia: Daily ClackAsia: zFrontierChina: zFrontierSEA: MonokeiUkraine / Russia: FunKeys "
3,Kono Store,https://kono.store/collections/switches/products/kono-box-switch-tester,Kono BOX Switch Tester,Don't know what switch to pick? Test a handful of our most popular BOX switches from Kailh with this switch tester! BOX switches have a specially designed stem to reduce switch wobble and provide a smooth typing experience. Includes a durable acrylic base and clear keycaps to help indicate the switch color beneath! Swi,https://cdn.shopify.com/s/files/1/1994/3097/products/SWITCHTESTER1_1200x802.jpg?v=1620765958,$9.99,True," Don't know what switch to pick? Test a handful of our most popular BOX switches from Kailh with this switch tester! BOX switches have a specially designed stem to reduce switch wobble and provide a smooth typing experience.  Includes a durable acrylic base and clear keycaps to help indicate the switch color beneath!  Switches included:  Kailh BOX White
Kailh BOX Brown
Kailh BOX Red
Kailh BOX Black  Silent Switches:  Kailh Silent BOX Rose
Kailh Silent BOX Brown  Input Club Switches:  Hako Clear
Hako True
Hako Violet "
4,Kono Store,https://kono.store/collections/switches/products/kono-sunrise-switches,Kono Sunrise Switches,"The tactile Kono Sunrise Switch expands upon our new collection of carefully designed Kono switches! With a soft tactile bump and a medium weight spring, this switch is ideal for a classic and quiet typing experience. The Sunrise Switch includes our custom 63.5g gold plated spring with a beautiful sunrise colorway. Wit",https://cdn.shopify.com/s/files/1/1994/3097/products/SunriseSwitch_Single_002V4_1200x900.png?v=1639004689,$8.49,True," The tactile Kono Sunrise Switch expands upon our new collection of carefully designed Kono switches! With a soft tactile bump and a medium weight spring, this switch is ideal for a classic and quiet typing experience. The Sunrise Switch includes our custom 63.5g gold plated spring with a beautiful sunrise colorway. With a crisp tactile bump and 45g actuation, this sits right at the perfect feel for both typing and gaming in long sessions. It gives enough resistance to reduce mistakes without creating additional fatigue, even with heavy typing.  Check out the partner linear Kono Sunset Switch!  These switches are hot-swap compatible, so check out our hot-swap keyboard collection!  View Switch Collection  details  Tactle (non-clicky)


10 switches per bag
Surface-mount LED compatible
MX-stem keycap compatible
Hot-swap compatible (3-pin / plate mount)
45g actuation, 63.5g bottom-out Gold Plated Custom Lengthened Spring
2mm actuation, 3.8mm total travel
Custom-formula synthetic grease for reduced noise and smooth travel
POM stem
Polycarbonate casing

Produced by JWK  ﻿  Thanks Nebulant for the force curve graph! "
5,Kono Store,https://kono.store/collections/switches/products/hako-violet-switches-10-ct,Hako Violet Switches (10 ct.),"Hako Violet switches, designed by Input Club, use lighter springs based on feedback from the keyboard community. Lower resistance combines with elements from MX Clear and Topre force curves to create an amazing multipurpose switch — one that performs equally well for gamers and typists. Kaihua's precision molds and mat",https://cdn.shopify.com/s/files/1/1994/3097/products/Hako-Violet-Product_grande_c08e62e2-a923-4f8d-b8b5-05a01d22ab52_1200x800.png?v=1562259145,$4.99,True," Hako Violet switches, designed by Input Club, use lighter springs based on feedback from the keyboard community. Lower resistance combines with elements from MX Clear and Topre force curves to create an amazing multipurpose switch — one that performs equally well for gamers and typists. Kaihua's precision molds and materials contribute to a 25% longer switch lifetime vs. regular Cherry models. In addition, the bespoke slider design virtually eliminates wobble.  View Switch Collection  design information  Community enthusiasts Jacob Alexander (HaaTa) and Brandon Muzzin (Over^Kill) designed custom springs and sliders for the Hako line. Hako Violets use a light spring and have a peak tactile point of (approximately) 40 grams. Tactility occurs early in the key press. A 10 gram post-tactile cushion, in the form of a resistance ramp, reduces bottom out harshness.  dust and liquid resistance  Box switches use a square slider design and sealed contacts that provide superior contaminant protection. If liquids or dust somehow penetrate a switch, lower housing vents and a slider drainage port eject the unwanted substances.  more details  10 switches per pack; order 10 units to receive 100 switches
Light resistance: 40 gram tactile point, 50 gram spring
Notable tactility
Tooling designed and owned by Input Club
Retooled Kaihua Box switch architecture
Rated for 80 million keypresses
Self-cleaning slider and housing design
Hot-swap compatible (plate mount)
Through-Hole and SMD LED Compatible   "
6,Kono Store,https://kono.store/collections/switches/products/hako-true-switches-10-ct,Hako True Switches (10 ct.),"Hako True switches, invented by Input Club, have a unique force curve and a pink salt-colored slider. Elements from Cherry MX Clear and Topre are combined with a heavy spring for improved typing dynamics. Precision molds and tooling from Kaihua made the switches last 25% longer than regular MX variants during stress te",https://cdn.shopify.com/s/files/1/1994/3097/products/HAKO_TRUE_SWITCH_1_1200x800.jpg?v=1567030517,$4.99,True," Hako True switches, invented by Input Club, have a unique force curve and a pink salt-colored slider. Elements from Cherry MX Clear and Topre are combined with a heavy spring for improved typing dynamics. Precision molds and tooling from Kaihua made the switches last 25% longer than regular MX variants during stress testing. In addition, the bespoke slider design virtually eliminates wobble.  View Switch Collection  Community enthusiasts Jacob Alexander (HaaTa) and Brandon Muzzin (Over^Kill) designed custom springs and sliders for the Hako line. Hako Trues use a heavy spring and have a peak tactile point of (approximately) 59 grams. Tactility occurs early in the key press. A 30 gram post-tactile cushion, in the form of a resistance ramp, is designed to prevent bottom out.  You can view their force curve in the Comparative Guide to Switches.  Box switches use a square slider design and sealed contacts that provide superior contaminant protection. If liquids or dust somehow penetrate a switch, lower housing vents and a slider drainage port eject the unwanted substances.  details  10 switches per pack
Heavy weight: 59 gram tactile point, 95 gram spring
Gentle tactility
Tooling designed and owned by Input Club
Kaihua Box switch architecture
Rated for 80 million keypresses
Self-cleaning slider and housing design
Hot-swap compatible (plate mount)
Through-Hole and SMD LED Compatible "
7,Kono Store,https://kono.store/collections/switches/products/kailh-box-jellyfish-switch-10-ct,Kailh BOX Jellyfish Switch,"The Kailh BOX Jellyfish Switch is built with wear-resistant nylon, independent housing chambers, and IPX5 splash and dust resistance. It has been designed to be one of the strongest and longest-lasting keyboard switches available. The BOX Jellyfish Switch come in linear and clicky varieties. These switches have an aver",https://cdn.shopify.com/s/files/1/1994/3097/products/CPG1511F01S70-1_1200x1200.jpg?v=1653073108,$7.50,True," The Kailh BOX Jellyfish Switch is built with wear-resistant nylon, independent housing chambers, and IPX5 splash and dust resistance. It has been designed to be one of the strongest and longest-lasting keyboard switches available.  The BOX Jellyfish Switch come in linear and clicky varieties. These switches have an average actuation force of 54g, a manageable middle-weight switch. This is a great weight category for beginners who are just getting their feet wet, or seasoned enthusiasts who have explored the extremes and want a middle-of-the-road approach that is practical for typing and advantageous for gaming.  Made with extraordinarily durable nylon stems, each switch has an expected life cycle of 100 million keypresses. Gold contacts create a latency-free connection with your keyboard. Closed loop protection of the stem keeps dust and dirt out of the housing.  specifications  Kailh BOX Jellyfish Switch – Linear:50g Activation force | 1.8mm Pretravel | 3.6mm total travel


Kailh BOX Jellyfish Switch – Clicky:57g Activation force | 1.8mm Pretravel | 3.5mm total travel  View Switch Collection  details  10 switches per pack
MX-stem keycap compatible
Wear-resistant nylon switch
Torsional click spring
IPX5 water and dust resistance
""Cross"" welded gold contacts

100 million press lifespan  force curve graphs:  Linear:    Clicky:   "
8,Kono Store,https://kono.store/collections/all-products-list,Products List,"A list of all the products available at Kono Store. Choose from mechanical keyboards, apparel, custom keycap sets or mechanical switches!",https://cdn.shopify.com/s/files/1/1994/3097/files/Kono_Logo_Transparent_Product_smallest_200x80_9325dd60-5dad-4b53-9b3a-bc7c556eddc4_1204x630.png?v=1632326595,$19.99,True,
9,Kono Store,https://kono.store/collections/switches/products/kailh-box-black-10-ct,Kailh BOX Black Switch (10 ct.),"BOX Black linear switches provide smooth, medium weight key travel with numerous advantages from Kaihua's BOX switch architecture. View Switch Collection  Precision molds and tooling result in an increased lifespan — BOX switches last 25% longer than regular MX variants during stress testing. The square stems also virt",https://cdn.shopify.com/s/files/1/1994/3097/products/box_black_close_1200x802.jpg?v=1581039752,$3.00,True," BOX Black linear switches provide smooth, medium weight key travel with numerous advantages from Kaihua's BOX switch architecture.  View Switch Collection Precision molds and tooling result in an increased lifespan — BOX switches last 25% longer than regular MX variants during stress testing. The square stems also virtually eliminate wobble. The slider design and sealed contacts provide superior contaminant protection. If liquids or dust somehow penetrate a switch, lower housing vents and a slider drainage port eject the unwanted substances. details  10 switches per pack
Medium weight: 60g Actuation - 70g Bottom Out

Linear — no tactile bump
Kailh BOX switch architecture
Rated for 80 million keypresses
Self-cleaning slider and housing design
Hot-swap compatible (plate mount)
SMD LED Compatible     "
