,vender,url,product,description,image,status,quantity,prices
0,NovelKeys LLC,https://novelkeys.com/collections/switches/products/mystery-switches,Mystery Switches,"A random 90 count of one type of switch from one of the following manufacturers: Kailh Gateron JWK Tecsee TTC No returns accepted. Disclaimer: If you order multiple, you may end up with a multiple of the same item.",http://cdn.shopify.com/s/files/1/3099/8088/products/Mystery_Switch_1200x1200.jpg?v=1635876700,LIMITED STOCK,90 Per Box,$15
1,NovelKeys LLC,https://novelkeys.com/collections/switches/products/cream-plus-switches,Cream+ Switches,"The Cream+ switches feature a unique hollowed stem, allowing the placement of inserts made of various materials that alter the sound profile of the switch.",http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Cream_bb0aa86b-b4ba-4151-99c9-0784e7242d00_1200x1200.jpg?v=1671550078,IN STOCK,36 Per Box,$23.40
2,NovelKeys LLC,https://novelkeys.com/collections/switches/products/gateron-baby-kangaroo-switches,Gateron Baby Kangaroo Switches,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/Gateron_Ink_BabyKangaroo_1200x1200.jpg?v=1677247089,IN STOCK,36 Per Box,$21.60
3,NovelKeys LLC,https://novelkeys.com/collections/switches/products/gateron-ink-switches,Gateron Ink Switches,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/Gateron_Ink_Box_Black_1200x1200.jpg?v=1652196686,IN STOCK,36 Per Box,$30.60
4,NovelKeys LLC,https://novelkeys.com/collections/switches/products/cream-clickie-switches,Cream Clickie Switches,"Introducing our new mechanical keyboard switch, featuring a unique ""snapple cap"" system that produces a satisfying click with every keystroke. This innovative design utilizes a stem that strikes the cap, creating a pop sound that is unlike any other switch on the market. Experience a new level of auditory feedback with",http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Cream_Clickie_1200x1200.jpg?v=1672936107,IN STOCK,36 Per Box,$32.40
5,NovelKeys LLC,https://novelkeys.com/collections/switches/products/nk-silk-mictlan-switches,NK Silk Mictlan Switches,The Silk Series are one of the smoothest stock linears. Lubricated with Krytox 205g0. These are batch 2 with improved lubricant application.  These will come in a random mixture of colors.,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Silk_Mictlan_TILE_1200x1200.jpg?v=1672156360,IN STOCK,36 Per Box,$19.80
6,NovelKeys LLC,https://novelkeys.com/collections/switches/products/nk-silk-milkshake-switches,NK Silk Milkshake Switches,The Silk Series are one of the smoothest stock linears. Lubricated with Krytox 205g0. These are batch 2 with improved lubricant application.  These will come in a random mixture of colors.,http://cdn.shopify.com/s/files/1/3099/8088/products/SilkMilkshakeTile_1200x1200.jpg?v=1672256711,IN STOCK,36 Per Box,$19.80
7,NovelKeys LLC,https://novelkeys.com/collections/switches/products/nk-silk-tfue-switches,NK Silk TFUE Switches,The Silk Series are one of the smoothest stock linears. Lubricated with Krytox 205g0. These are batch 2 with improved lubricant application. ,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Silk_TFUEPink_1200x1200.jpg?v=1672156344,IN STOCK,36 Per Box,$19.80
8,NovelKeys LLC,https://novelkeys.com/collections/switches/products/nk-silk-awaken-switches,NK Silk Awaken Switches,The Silk Series are one of the smoothest stock linears. Lubricated with Krytox 205g0. These are batch 2 with improved lubricant application. ,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Silk_AwakenGreen_1200x1200.jpg?v=1672156337,IN STOCK,36 Per Box,$19.80
9,NovelKeys LLC,https://novelkeys.com/collections/switches/products/mm-switches,MM Switches,"These custom linear switches are manufactured by JWK. They consist of 4 different materials for the stem, 3 different materials for the bottom and top housing, and metal contact leaves. There can be 36 different combinations of colors and materials, allowing customers to fully enjoy assembling their customized switch.",http://cdn.shopify.com/s/files/1/3099/8088/products/MM_Switch_Tile_1200x1200.jpg?v=1665589012,,,$8.90
10,NovelKeys LLC,https://novelkeys.com/collections/switches/products/nk-cream-series,NK_ Cream Series,These unique switches feature all POM housing and stems.,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_Cream_Dream_1200x1200.jpg?v=1660571996,IN STOCK,36 Per Box,$30.60
11,NovelKeys LLC,https://novelkeys.com/collections/switches/products/kailh-box-switches,Kailh BOX Switches,Kailh BOX Switches. BOX switches are IP56 waterproof/dustproof. Only SMD compatible. Not compatible with other LEDS.,http://cdn.shopify.com/s/files/1/3099/8088/products/Kailh_Box_MuteJade_1200x1200.jpg?v=1641915008,IN STOCK,36 Per Box,$21.60
12,NovelKeys LLC,https://novelkeys.com/collections/switches/products/kailh-switches,Kailh Switches,NovelKeys LLC,http://cdn.shopify.com/s/files/1/3099/8088/products/Kailh_Speed_Bronze_1200x1200.jpg?v=1628272318,IN STOCK,36 Per Box,$16.20
13,NovelKeys LLC,https://novelkeys.com/collections/switches/products/cherry-switches,Cherry Switches,All switches are from the latest updated tooling also known as Hyperglides.,http://cdn.shopify.com/s/files/1/3099/8088/products/Cherry_Red_1200x1200.jpg?v=1630598219,IN STOCK,36 Per Box,$18
14,NovelKeys LLC,https://novelkeys.com/collections/switches/products/gateron-cap-switch,Gateron CAP Switch,The Gateron CAP switches are sold in packs of 35 and come in an acrylic case. ,http://cdn.shopify.com/s/files/1/3099/8088/products/Gateron_Cap_Yellow_1200x1200.jpg?v=1641923293,IN STOCK,35 Per Box,$18
